RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,Avg
60791,07751,Morganville,NJ,New York,Monmouth,5597,435900,436900,438100,439600,439800,437800,435500,434200,433300,432200,434000,438300,441400,442200,443800,445100,446300,449000,454700,462000,467100,469800,471700,474300,477900,481200,482700,485000,489300,493300,494800,493900,493500,494700,494800,494000,493000,496000,502800,510000,513000,514200,515100,516000,516000,517900,520800,522700,522600,521900,522300,522300,520800,519400,518400,518000,519200,519300,517800,519200,482613
60557,07044,Verona,NJ,New York,Essex,6149,463500,463800,461200,458000,455000,451400,449500,448700,448100,445700,445800,446500,446000,447500,453200,459600,464300,468200,471100,474000,476200,477700,478000,476400,476200,481300,486900,490100,493300,497500,501000,505200,509800,510300,509000,510700,511600,508000,503000,501100,502400,503800,498100,490400,486000,484300,481100,478500,478600,479000,479200,480600,479500,480700,491200,504500,516600,526200,534300,538900,482305
61165,08742,Point Pleasant,NJ,New York,Ocean,2628,456100,457000,458200,457700,455800,454100,454900,458300,462200,467400,473600,477800,480000,482200,482700,484100,486700,489300,489100,490200,492900,493800,494000,494500,493100,492000,493800,494400,494000,490300,482700,480300,481000,479700,476200,474000,470800,469400,468300,465600,465700,470100,475600,478300,481800,484600,485400,486300,490300,490800,489700,491700,494300,496400,499700,499800,498500,501000,505700,509400,481555
61208,08844,Hillsborough,NJ,New York,Somerset,1898,456200,449900,446100,446900,449500,450200,450000,449900,448400,445200,444500,447200,451600,454300,455500,456400,457700,459800,464000,467600,468900,471300,473600,474500,475100,475200,474700,476300,479100,481100,482200,483100,484200,484200,486600,492100,493400,489200,487300,488900,492000,495000,495000,492600,492300,494200,495100,495600,498400,503100,506700,508200,508200,508000,506800,505900,507200,510300,512300,510600,478490
60688,07470,Wayne,NJ,New York,Passaic,691,456600,457200,456500,455900,455900,456300,456700,457600,459200,461000,462100,462400,461100,458700,456900,457300,458400,460200,463700,466500,466700,467300,469900,471000,472200,474800,478100,479500,481000,482000,483000,485500,490100,492900,492900,492300,489700,486000,484400,484300,485000,486200,487900,488300,487600,487400,490500,494700,496400,498300,499200,498900,497400,496600,495700,496800,498100,498200,496900,497300,478020
60787,07746,Marlboro,NJ,New York,Monmouth,5894,435700,435200,436800,438900,439100,437200,434100,432400,432700,433300,435100,437800,440100,441300,444000,446700,449400,452400,456800,462200,467800,472200,476300,480500,484700,488000,489300,490500,493500,495600,495500,494600,494700,494500,492800,490800,491000,495400,499800,501200,500100,499500,501100,504300,506100,506200,504500,501700,500100,498600,498300,500200,502100,502100,501400,502400,503700,504000,504400,507700,477640
60521,07005,Boonton,NJ,New York,Morris,6047,446000,446700,447300,446900,448600,451600,454100,456900,458100,457400,456700,455600,454800,454100,455900,459400,462500,462400,462000,467200,477700,481900,478700,480900,486800,487100,484600,484300,486100,489000,492500,492200,490600,488900,489400,486700,482700,481000,484200,487800,486100,483800,485700,488200,487800,489200,492000,493100,491200,492000,493900,493700,494600,495900,494000,489600,487300,488000,490800,492000,477103
61002,08204,Lower Township,NJ,Ocean City,Cape May,3861,484500,479000,480100,483300,483200,482600,482500,483500,484500,486100,486500,482300,481000,484600,487500,484400,480000,472300,465400,458400,456400,460400,464900,458800,451400,447400,446300,447200,450100,450500,450900,453900,454200,452300,451400,450600,452900,456400,456400,456200,456500,457300,459600,465700,471700,474200,475100,481300,487100,491000,493400,492500,490300,488100,485200,483700,484600,484500,488300,496000,471440
60579,07070,Rutherford,NJ,New York,Bergen,5450,437300,434700,433500,431500,430100,429600,429500,430800,433300,435200,438000,441600,443300,441800,441200,445400,452200,455900,457700,463700,473200,478700,479400,481000,480500,478100,480500,485400,484200,480000,476200,473600,473000,473900,471900,468100,468400,471700,474200,475100,476600,478600,481700,484600,485200,485400,485800,485000,481300,480200,481500,480700,478000,479600,484400,487400,487800,489800,498500,507800,467222
60840,07853,Long Valley,NJ,New York,Morris,6915,441700,441700,438200,433000,431400,431900,434300,438500,442300,444500,445200,445700,447200,450000,454700,460700,465700,468700,467200,462800,461100,462400,462800,462800,461800,460900,464200,470400,474500,476600,476400,474500,475400,479200,482700,483900,482800,481400,482100,482900,482800,482200,482500,482700,483100,485000,486900,486200,485900,488300,489200,488500,486700,482000,478400,476000,470700,466100,466900,467900,467037
60564,07054,Parsippany-Troy Hills Township,NJ,New York,Morris,3041,441500,439700,436700,433500,431300,431500,434200,438100,440200,439900,438100,435300,433800,435600,440400,445600,450400,452500,451300,449200,449400,450500,451100,452100,452900,452700,454600,458900,461000,462000,465100,468800,471900,474100,474400,473900,474500,474200,471900,469000,468300,468800,468700,467900,467600,468800,470800,470500,469400,471400,475200,477400,478900,478500,476000,474000,474400,475500,478100,482200,458737
60802,07764,West Long Branch,NJ,New York,Monmouth,7959,422800,422000,422100,422900,424600,427500,428500,428300,430500,432100,431100,429800,429800,427700,427100,427800,430900,432300,433000,435700,440600,445200,449100,450500,450600,456700,463600,466800,467400,466500,462700,459400,458600,457500,453900,455000,459600,461700,462300,463300,461300,460600,462200,464900,467800,471100,474600,477600,476600,473200,471400,474500,480700,487700,491700,496200,501000,505300,508300,513100,455622
60765,07716,Atlantic Highlands,NJ,New York,Monmouth,7322,424300,421200,423200,426100,428600,428800,428600,428700,427500,427500,432600,436500,435600,435700,439000,441800,442500,443800,448000,447900,440200,438300,443100,446600,447400,448500,450700,455500,455600,453300,455000,459000,462800,466300,466200,465700,468900,469800,466700,465900,463900,460200,461800,468500,472300,473500,472600,471800,472300,473500,473300,468900,467300,473700,478000,479900,485600,490000,490100,494000,454743
60823,07834,Denville,NJ,New York,Morris,5413,438900,436600,431100,425700,423300,424200,426300,428000,429600,431600,432400,432100,431400,432000,435300,441000,445700,448100,447700,446600,448000,449700,450300,449600,448600,447000,445100,446300,450700,452700,452000,452900,453100,450200,449000,450000,450100,448800,450500,452600,451800,450800,450800,450500,450900,452800,453800,452600,451100,455600,462300,464000,465500,469000,469700,468900,469500,470000,470200,471000,448093
60789,07748,Middletown,NJ,New York,Monmouth,3754,416000,414500,415300,417500,418400,418600,418200,417400,417900,419300,420300,422400,423700,424700,425400,426100,428000,430100,431200,433800,435600,435800,437600,438600,441600,446900,448000,449600,455800,458900,456300,453900,453200,453700,452300,451500,453600,455700,456300,455700,454000,453900,456800,459300,461200,465000,469100,472700,473100,470800,470000,470900,471000,471200,473500,477100,479700,480700,483100,487900,447173
60756,07701,Red Bank,NJ,New York,Monmouth,3602,422200,419600,417900,415300,413200,412800,413200,409200,405600,405700,407800,409600,411600,412000,415700,421800,425700,428800,431300,433600,436100,437100,437100,441700,448700,453300,454400,454700,457100,458600,458700,459100,460900,461400,460400,459900,462200,464600,464800,462400,460300,458600,457900,458000,458300,459200,461500,464600,465900,464500,464300,468300,471500,472100,472900,475900,477800,480400,484500,489100,446523
61001,08203,Brigantine,NJ,Atlantic City,Atlantic,5598,457200,453300,456300,456700,455600,458300,456900,453200,455800,461600,465600,468700,469800,471400,473100,468200,458400,451700,449700,450700,450600,448200,449300,451600,452700,455100,458200,456600,454300,458500,465500,469000,470200,472500,468600,456200,447300,444400,437700,432100,432600,432900,429700,427300,420800,414200,410600,410900,410100,410900,413800,418900,422900,423700,422600,419800,422700,432100,445300,458100,446178
60686,07463,Waldwick,NJ,New York,Bergen,7451,418000,416800,415200,413700,413200,413600,412800,413400,416000,418400,418800,421000,425100,426100,427100,429900,432100,432400,432500,434900,440000,442200,442400,445500,448900,449300,448800,449000,449400,447700,445400,444700,442300,441500,443600,443500,441400,442900,445700,446200,446100,448100,451400,451700,451400,452400,453300,455200,457800,458400,456800,457800,459000,459700,465000,473200,478200,479600,478600,475500,442343
